date,pancakeswap,curve,makerdao,uniswap,Compound,AAVE,sushiswap,anchor
2021-10-27,5447135921.684317,18539644260.924038,16557135014.352213,8750781288.804623,10970741531.089895,19134015764.22302,6200962710.169448,4072700138.663287
2021-10-28,5643762662.358612,18264143173.788063,16255279198.591019,8489430445.277375,10281006403.363764,18458815279.684814,5850330188.743704,3791513590.1829853
2021-10-29,5898588300.73639,18920652591.314926,17205990333.54418,9010865390.43546,10788342127.573868,19282585968.440903,6255730727.934693,3979343540.5856977
2021-10-30,5815513186.465316,18981669015.236687,17560228204.980648,9241442997.600878,11227143347.973719,15166238832.223415,6438690848.656424,4083208938.760427
2021-10-31,5758975045.936821,19283974827.711094,17335522623.840813,9159643440.293497,10989474604.508413,13506059824.950706,6459085312.702155,4040747884.3212996
2021-11-01,5884102136.487103,19275353528.897633,17310759535.906414,9174963557.238747,10950355324.279299,13504038411.74765,6448059508.72484,4003223686.73501
2021-11-02,5954735059.053444,19515849127.587307,17442259682.10355,9253245586.140345,11265450683.76211,13738200524.740242,6493919352.144824,4088349273.5897264
2021-11-03,6076878824.577682,20042083749.44038,18140882278.385414,9694056683.845657,11678956648.111115,15257525679.955944,6856762471.253141,4129669370.462613
2021-11-04,6073386196.955438,20127849711.07522,18345630063.983955,9735963659.170681,11654319375.351282,15422651404.680328,6817989025.927734,4325836209.328786
2021-11-05,6302845502.14843,19796997827.985634,18087440013.39822,9539019827.147556,11668511670.581846,15501276130.472393,6805695211.337684,4542116299.285368
2021-11-06,6401793892.626626,19811418159.008156,18448384332.11855,9503606642.938545,11475176886.23204,15495705716.460464,6655016260.204697,4418858191.557443
2021-11-07,6478550389.357078,20064776748.594345,18554112014.94654,9680899368.195036,11679557520.631828,15633750403.667746,6686203227.459566,4501966661.355373
2021-11-08,6557379136.423428,20781037490.23768,18901321807.821938,10126581977.442753,11847896610.078922,16029310540.31405,6907350411.034023,4707541951.264402
2021-11-09,6397502965.8545265,21022188317.45656,19753787030.401245,10236288564.55292,12317198596.531176,16662467757.757019,7037692107.841982,4677369402.097708
2021-11-10,6220933600.110755,20915492059.690483,19678486049.838062,10139153756.020206,12222288679.45219,16460808424.052776,6899045945.765033,4464254057.810996
2021-11-11,6366974071.9817,20528661949.552242,19186245412.931515,10082478564.253677,11988239250.177877,16162946316.167477,6609126039.282575,4339011096.413052
2021-11-12,6347105400.721098,20865082142.326912,19515509152.055576,10366103005.302996,12200295757.015205,16417907690.29653,6185528108.676678,4530157398.266377
2021-11-13,6519980006.693483,20842743096.173485,19342337382.41079,10316484359.77056,12170691125.305609,16323819930.839706,6089928516.186053,4453790105.737231
2021-11-14,6566433405.713223,21122222630.88967,19211370435.79694,10339189400.402391,12176631573.150793,16448644748.589512,6068830712.122542,4587768538.081184
2021-11-15,6496397441.211439,21292507560.15063,19067082309.20319,10463125454.711447,12117018057.580614,16434648009.697453,6150535633.068178,4568345902.041704
2021-11-16,6115730798.408184,20905443933.900673,18905642133.97989,10188009918.81166,12032682801.106804,16227707878.683838,5828333363.29249,4347152365.395409
2021-11-17,6184578111.586165,20353466166.21289,17901243702.817486,9704576539.293236,11442803280.135098,15418302944.978966,5482824497.003841,4071971883.857891
2021-11-18,5912045439.018565,20652471921.711113,18187183955.85234,10074040639.517838,11388995039.086485,15683435512.69827,5615544868.55444,4005602718.6686997
2021-11-19,6268391668.340854,20263226942.79373,17255607811.819477,9357822407.606953,10966218879.80174,14709052177.103432,5272965900.137344,3804437326.4256964
2021-11-20,6540721397.796931,20726721224.6381,18418754287.92958,10080964699.482174,11660928552.530907,15617625193.827456,5464790638.52423,4014547354.38401
2021-11-21,6284867229.10821,21024594033.764053,18912608475.99794,10176037395.016533,12087940518.799572,16242751652.862934,5580321664.51499,4217151333.7875347
2021-11-22,6098056446.499544,20627678305.462257,18611191103.637474,9852863688.654676,11903088589.394007,16101029524.05988,5529347738.89404,4133508488.003789
2021-11-23,6394585633.139668,20229370480.968613,17744252481.856182,9757965640.77966,11305154111.576677,15495515225.426598,5398743690.728394,3936515384.026634
2021-11-24,6361597113.371153,20710630214.745358,18591037251.247864,10099051064.268608,11789881035.940413,16022724025.08601,5506444035.81312,3967537601.9720345
2021-11-25,6694612861.857179,20673837026.59586,18339357692.088707,10198666977.59975,11674250818.948393,15657766677.24736,5512174658.031321,3916285306.9885225
2021-11-26,6153073430.167905,21131470755.396725,19200455167.930435,10273076775.039888,12202400732.710186,16125713721.565767,5660866838.0221195,4266610092.334687
2021-11-27,6231521036.2813425,20248566680.083,17612997248.82113,9555938463.421913,11337513039.613031,14315328766.478832,5269359000.659095,4098082591.6516848
2021-11-28,6358794399.769097,20169854795.98024,18000565066.594612,9697762920.649643,11481182707.049541,14430967390.340883,5171383259.26443,4242961520.741809
2021-11-29,6501259381.947608,20529840898.836945,18794535582.98214,9973803880.32873,11898509227.848278,14999858342.670805,6537547437.14195,4635694302.265719
2021-11-30,6542694210.862367,21071065035.43798,19248402258.31529,10372280585.904888,11783903088.501513,15409213700.582613,6575282334.365726,4793858488.38571
